,osd767_lfc,aph_lfc
Solyc01g009810,-0.0390570403792102,-0.8649736312937262
Solyc01g009820,-0.288738235352458,-0.3979709912191517
Solyc01g009860,0.538363949438506,-0.3481652685170216
Solyc01g009930,-0.230813921599606,-1.7183231459002657
Solyc01g009970,-0.108978232272507,0.0665131346055994
Solyc01g009990,0.0086279307190936,0.222258237402616
Solyc01g010000,0.173885225289107,0.0241784683557982
Solyc01g010020,0.0976529644104102,-0.1712641825522963
Solyc01g010030,-0.0654218025873431,-0.1894789136873034
Solyc01g010050,-0.451608471677608,0.0568237601476884
Solyc01g010060,-0.844812144944175,-1.2544254214872292
Solyc01g010080,0.132190550329716,0.7921501789378279
Solyc01g010150,0.132119589420757,-0.0383746290812282
Solyc01g010180,0.013027148470886,-0.5021023381759988
Solyc01g010230,-0.0650606995817619,0.3149544324078589
Solyc01g010250,0.114413994609071,0.0592983110890441
Solyc01g010270,-0.0404489641382267,0.186603302929742
Solyc01g010290,-0.113750098739711,0.0621984593185771
Solyc01g010310,0.122214292921639,0.52511261023947
Solyc01g010370,0.182201819218528,0.1004473786770478
Solyc01g010390,0.222309168996755,0.1508682468978452
Solyc01g010430,-0.194338472254061,-0.6469561544282664
Solyc01g010440,0.0272486566591039,0.0443119581199037
Solyc01g010480,-0.0764367876150249,-0.4642320735913297
Solyc01g010510,-0.0147139444798838,-0.1229420088558038
Solyc01g010520,0.0646689629859416,-0.015123823073622
Solyc01g010540,0.153819838608263,0.3114538037668871
Solyc01g010570,0.177767433482525,0.1228988547919168
Solyc01g010580,0.23783102614994,0.3632982152511088
Solyc01g010590,0.019094451686848,0.1741456913780809
Solyc01g010640,-0.185474626655234,0.0335013492124116
Solyc01g010650,-0.0079480448795448,0.1452341314596145
Solyc01g010660,-0.0175294946186368,0.2507191503496245
Solyc01g010700,-0.806389418919125,0.0892854332445071
Solyc01g010710,0.0605180795622088,-0.3860492595360182
Solyc01g010750,-0.33908950584446,0.0436862726139877
Solyc01g010760,0.0455117090786472,0.2365787728102558
Solyc01g010770,-0.267448784250495,-0.064465319387744
Solyc01g010780,0.0903158623986862,-0.0807609621226184
Solyc01g010820,-0.0277632697949295,-0.0075265464659199
Solyc01g010830,-0.07927428325865,0.2231292670603774
Solyc01g010860,0.0175543633366658,0.112351416187163
Solyc01g010870,-0.0742096875722225,-0.0385361463188613
Solyc01g010880,-0.220497988141187,0.1201864104113409
Solyc01g010930,-0.12581389731573,-0.3434752187970211
Solyc01g010940,0.098180586071389,0.1578730708887101
Solyc01g010950,-0.162270047107092,-0.2344497552337195
Solyc01g010970,0.0358910578756463,-0.0333618216806803
Solyc01g010990,0.0116216556062126,-0.3697363142893108
Solyc01g011000,-0.0030854458578002,0.3696227185814975
Solyc01g011030,0.0159227727989346,0.0290837294222638
Solyc01g011040,0.244666343083053,-0.012192921561162
Solyc01g011090,-0.0073885161955056,-0.2870215297961547
Solyc01g011200,-0.0188192595103099,0.2235904877506322
Solyc01g011220,-0.196969848069867,0.2977207644053753
Solyc01g011340,0.227468696084726,-0.282719382245627
Solyc01g011350,-0.135278802417907,0.1058057192854657
Solyc01g011510,0.152356154212747,-0.1920412986637598
Solyc01g014140,-0.186486465483119,-0.1729800751280793
Solyc01g014270,-0.193247029702921,0.3118755610070489
Solyc01g014320,-0.0869842183998542,-0.2660472307550831
Solyc01g014480,0.164324423913414,-0.2314197602434981
Solyc01g014490,-0.0601609778053201,-0.0075472945459838
Solyc01g014560,0.0839955055593986,0.2198290837389479
Solyc01g014620,0.0828849124791895,0.5560088086562072
Solyc01g014840,0.153878158262289,-0.637156035906731
Solyc01g014850,0.094929417039135,0.3347265571745008
Solyc01g015020,0.0369167232663723,-0.131830446601661
Solyc01g016470,-0.0221220858287161,0.3963123813741119
Solyc01g017600,-0.0062980922983621,-0.171549227584986
Solyc01g017860,-0.051489307559716,-0.0218121791038134
Solyc01g018010,-0.0024729632296632,0.233783504317531
Solyc01g020320,-6.18241094738683e-05,0.2289042727285588
Solyc01g020440,0.0206534750421255,0.2488525751078756
Solyc01g020500,0.0165592493915559,0.2926524411728595
Solyc01g021600,-0.108337146019407,0.4220858983334668
Solyc01g021640,-0.0937827324830647,-0.036717941572029
Solyc01g022740,-0.007558996517101,-0.0192794974537107
Solyc01g022750,-0.136799180629442,0.2661573982004908
Solyc01g028810,0.0385303719517854,0.0263730264650921
Solyc01g028830,-0.274747044278454,0.2389583659206553
Solyc01g028860,0.0760004375055569,0.0009056038541003
Solyc01g028870,-0.129937315750414,0.1962525712097871
Solyc01g028900,0.138095931758319,-0.0183705502916326
Solyc01g028930,0.0431944117087515,0.1386698479460363
Solyc01g034020,-0.0133666527681588,0.1663262775010169
Solyc01g034150,0.0128342394610904,0.0854415905034226
Solyc01g044270,0.0829208164252194,-0.2326112737718578
Solyc01g044370,-0.273100770930865,0.2565398972206507
Solyc01g044490,0.0431844960203575,0.1879952993862289
Solyc01g049650,-0.179456111448377,-0.1915153102773054
Solyc01g049680,-0.0446014117853156,0.2546389993652814
Solyc01g049810,0.169038693828553,0.1358908144244803
Solyc01g049880,-0.174215874001211,0.3843883277999105
Solyc01g049890,-0.0203847450204597,-0.0560491634338878
Solyc01g049910,0.0571864643665,0.0813494002597862
Solyc01g049960,-0.0063447674648008,0.1173250809026315
Solyc01g050040,-0.188032304492834,0.1325824063063485
Solyc01g050070,-0.04961815840387,0.0003122003808797
Solyc01g056340,-0.0917249423326089,-0.0927150520679906
Solyc01g056520,-0.0741936550986945,-0.2440275852761105
Solyc01g056570,-0.0665075127672115,-0.2247177183835609
Solyc01g056620,0.0036955172893387,-0.0247883671864738
Solyc01g056690,-0.0335559991834999,-0.0490608441932744
Solyc01g056720,0.109525679228403,0.0171844662849757
Solyc01g056730,0.44659912750585,-0.3015064970017522
Solyc01g056780,-0.0732571485046115,0.2393273817180487
Solyc01g056790,0.0406014690213678,-0.0058195360748483
Solyc01g056810,0.135267918667929,0.1508333602257713
Solyc01g056850,-0.642195698128175,0.3722799259717806
Solyc01g056990,0.382905658550188,0.3162553089501679
Solyc01g057000,-1.39987303221501,1.5676458617176532
Solyc01g057020,-9.75817997631121e-05,-0.2234861054482393
Solyc01g057200,0.051840765215314,0.0911527485519673
Solyc01g057210,0.151599345678259,0.0429506332568229
Solyc01g057260,-0.219817637913196,0.4160895507771742
Solyc01g057270,-0.0306576151635931,0.1398993236997709
Solyc01g057310,0.415416780378241,0.0242657839561619
Solyc01g057340,0.181993093268362,-0.0960499371130956
Solyc01g057430,-0.0213892726705799,0.2511214253323885
Solyc01g057520,0.0651129709010798,-0.0188978591087364
Solyc01g057570,-0.191276193401355,0.0969106918640422
Solyc01g057760,0.0411565292145687,-0.140801487571629
Solyc01g057770,-0.11168165772727,-0.5690952657882156
Solyc01g057780,-0.0152750793240423,-0.0671885226588844
Solyc01g057830,-0.0638213184008661,0.0283095973399623
Solyc01g057850,0.0695912733282779,-0.4187787012715848
Solyc01g057900,-0.0681578247960572,-0.1341126059151489
Solyc01g057910,-0.565500812595758,-0.0221906526120424
Solyc01g058010,-0.0389400242456349,-0.3678493024626678
Solyc01g058020,-0.107739565807614,-0.0585226418257425
Solyc01g058140,0.0223279852054267,0.0952664549760514
Solyc01g058160,0.0632609246639715,0.0115495521809539
Solyc01g058170,-0.0535060742031581,0.3600846638535048
Solyc01g058190,-0.0377570442665099,0.2053136011983447
Solyc01g058250,0.15761056335846,-0.7376397105215482
Solyc01g058260,-0.0343373644274355,0.2948926215457012
Solyc01g058270,0.288771560181186,-0.0288279383240079
Solyc01g058280,0.120418890347919,0.3317014018667721
Solyc01g058320,-0.0757058368951235,-0.1532627290109613
Solyc01g058390,-0.16132035540794,0.0110228888579105
Solyc01g058450,0.0304497599292821,-0.0125178653540933
Solyc01g058470,-0.0566185716756491,0.1133394511823164
Solyc01g058520,-0.0393176935299155,0.2772590028125739
Solyc01g058670,-0.164865457385956,0.2121683425897468
Solyc01g058720,-0.0975184142370141,-0.7015912119113553
Solyc01g058730,0.0473568456565351,-0.1067042491908078
Solyc01g059830,-0.113128719083408,0.0423553234583614
Solyc01g059860,-0.0896800989196894,-0.0621131739757048
Solyc01g059870,-0.251045765378169,-0.1185138525914796
Solyc01g059880,0.22097584388404,-0.2189130737071014
Solyc01g059920,0.218832193285773,0.2574081450801173
Solyc01g059930,-0.118966352074114,0.1786634121985699
Solyc01g059965,0.322589177354975,0.1693549786832554
Solyc01g060020,0.0817072179708144,-0.378890810084407
Solyc01g060030,0.170800897678062,0.2343504379186238
Solyc01g060040,-0.0594277972002382,0.0089521074926083
Solyc01g060070,-0.317212715671396,-0.2548264388237333
Solyc01g060080,0.0376068160782589,0.1771687528297028
Solyc01g060130,-0.125886372819095,0.1204706388255162
Solyc01g060140,-0.0305678856762763,-0.1167913319515911
Solyc01g060180,-0.0993245778023906,-0.159507241856575
Solyc01g060200,0.0508988066449779,0.1045892779053088
Solyc01g060240,0.0087242322890597,0.2333146549209548
Solyc01g060260,-0.116590024024301,-0.1692053673046053
Solyc01g060280,0.061725687444375,-0.1521114124806353
Solyc01g060450,-0.0141820744382775,0.4092878681569227
Solyc01g060470,0.0300172215309409,-0.0315696133989626
Solyc01g065490,-0.18993763082494,0.2861568752811635
Solyc01g065500,0.0023603079941748,0.1329057960857313
Solyc01g065510,-0.198793960583375,0.1802223449848495
Solyc01g065530,-0.32276013899796,-0.0971278835551277
Solyc01g065540,0.0049989504423558,-0.1141455919855964
Solyc01g065550,-0.0412497600585194,0.0978896875701351
Solyc01g065560,0.027520754549536,-0.013711324715931
Solyc01g065580,0.0778043104079081,0.1331055717835279
Solyc01g065690,-0.252769204121638,0.3727978765094337
Solyc01g065700,-0.0584220928800573,-0.5127016206500715
Solyc01g065710,0.0592094941853951,0.4156530418713965
Solyc01g065720,-0.180939054694892,-0.3117742045438677
Solyc01g065840,-0.0449009675174412,-0.032234439375537
Solyc01g066040,0.0469877770129739,0.992817827406764
Solyc01g066050,0.17223861240687,-0.2824450962400856
Solyc01g066060,0.0504076788560175,0.0454597220945975
Solyc01g066190,-0.0151757227697364,1.4286282267773096
Solyc01g066200,-0.174729058922353,0.200780154469637
Solyc01g066310,0.0106499386602584,-0.1052075991494789
Solyc01g066430,-0.70775342502712,-0.5645618778241991
Solyc01g066440,0.271462880451867,0.2241493626692816
Solyc01g066450,0.273993228700798,0.7020928492653856
Solyc01g066457,-0.232383836412023,-0.8827200945200268
